,марка,цена,год выпуска,город
126,LADA Priora,395 000,2015,в Саранске
127,Renault Sandero Stepway,439 000,2013,в Саранске
128,BMW 3 серия,470 000,2007,в Саранске
129,Renault Sandero Stepway,385 000,2012,в Саранске
130,Volvo XC60,1 090 000,2010,в Саранске
131,ГАЗ ГАЗель 3302,250 000,2006,в Саранске
132,Hyundai ix35,670 000,2012,в Саранске
133,BMW 5 серия,1 000 600,2012,в Саранске
134,SsangYong Actyon,550 000,2012,в Саранске
135,Chevrolet Lacetti,295 000,2007,в Саранске
136,Mazda 3,140 000,2005,в Рузаевке
137,Mitsubishi Lancer,235 000,2006,в Теньгушево
138,LADA Kalina,160 000,2010,в Рузаевке
139,Renault Fluence,190 000,2010,в Рузаевке
140,Toyota Avensis,495 000,2008,в Рузаевке
141,Audi A6,660 000,2009,в Рузаевке
142,ВАЗ 2107,83 000,2009,в Саранске
143,Daewoo Matiz,135 000,2011,в Саранске
144,SsangYong Rexton,450 000,2008,в Рузаевке
145,LADA Kalina,100 000,2007,в Саранске
146,LADA 4x4 (Нива),320 000,2013,в Атяшево
147,Geely Emgrand X7,475 000,2014,в Рузаевке
148,Mitsubishi Lancer,267 000,2006,в Саранске
149,Mazda 6,605 000,2011,в Саранске
150,Chevrolet Cruze,495 000,2012,в Рузаевке
151,Chevrolet Lacetti,270 000,2008,в Саранске
152,Chevrolet Lanos,120 000,2008,в Атяшево
153,SsangYong Actyon,550 000,2012,в Саранске
154,Toyota Corolla,500 000,2008,в Саранске
155,Ford Focus,105 000,2001,в Саранске
156,Mitsubishi Lancer,165 000,2004,в Саранске
157,Renault Logan,330 000,2008,в Саранске
158,Volkswagen Jetta,599 999,2013,в Саранске
159,Volkswagen Transporter,790 000,2006,в Ромоданово
160,Hyundai ix35,670 000,2011,в Саранске
161,Hyundai i30,635 000,2014,в Саранске
162,Volkswagen Touareg,610 000,2008,в Саранске
163,Toyota Corolla,480 000,2008,в Больших Березниках
164,LADA 4x4 (Нива),100 000,2003,в Саранске
165,Toyota Camry,1 080 000,2015,в Саранске
166,Hyundai Accent,35 000,2007,в Зубовой Поляне
167,Chevrolet Niva,240 000,2007,в Темникове
168,Hyundai Solaris,460 000,2015,в Саранске
169,Volkswagen Golf,560 000,2012,в Саранске
170,Audi 80,70 000,1990,в Саранске
171,LADA Kalina,165 000,2010,в Саранске
172,ВАЗ 2112,90 000,2007,в Атяшево
173,ВАЗ 2102,15 000,1972,в Зубовой Поляне
174,BMW X1,800 000,2013,в Саранске
175,KIA Rio,765 000,2019,в Краснослободске
176,LADA Granta,170 000,2015,в Саранске
177,Renault Logan,510 000,2016,в Ардатове
178,LADA Kalina,130 000,2011,в Тургенево
179,LADA Kalina,178 000,2011,в Саранске
